"id","anger","awe","being_moved","boredom","confusion","enchantment","energy","fascination","feeling_of_beauty/liking","feeling_of_ugliness","humor","insight","intellectual_challenge","interest","joy","nostalgia","relaxation","sadness","surprise","uneasiness","vitality"
"6665",0,0.75,0.2857142857142857,0,0.7142857142857143,0.625,0,0.75,0.5,0.25,0.125,0.5714285714285714,0.625,0.75,0.125,0.4285714285714285,0,0.375,0.625,0.2857142857142857,0
"6666",0,0.75,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.625,0.14285714285714285,0.625,0.625,0,0.125,0.5714285714285714,0.625,0.75,0.25,0.4285714285714285,0.5,0.375,0.375,0.2857142857142857,0.2857142857142857
"7060",0,0.375,0.7142857142857143,0.33333333333333337,0.7142857142857143,0.25,0,0.625,0.5,0,0,0.5714285714285714,0.625,0.625,0.125,0.5714285714285714,0.25,0.75,0.375,0.8571428571428571,0
"7061",0,0.375,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.25,0,0.25,0.375,0,0,0.2857142857142857,0,0.25,0,0.5714285714285714,0.5,0.625,0,0.2857142857142857,0
"7062",0,0.5,0.5714285714285714,0.33333333333333337,0.4285714285714285,0.25,0,0.5,0.5,0,0,0.2857142857142857,0.25,0.5,0,0.7142857142857143,0.5,0.625,0.125,0.2857142857142857,0
"7063",0,0.125,0.7142857142857143,0,0.5714285714285714,0.125,0,0.375,0.25,0,0,0.4285714285714285,0.125,0.375,0,0.7142857142857143,0.25,0.75,0.125,0.4285714285714285,0
"7459",0,0.5,0.2857142857142857,0.33333333333333337,0.2857142857142857,0.125,0.14285714285714285,0.25,0.375,0.125,0,0.2857142857142857,0.125,0.25,0,0.2857142857142857,0.25,0.375,0.125,0.4285714285714285,0.14285714285714285
"7460",0,0.75,0.4285714285714285,0,0.14285714285714285,0.5,0,0.5,0.625,0,0,0.2857142857142857,0.125,0.375,0.25,0.4285714285714285,0.5,0.5,0,0.14285714285714285,0
"7461",0,0.75,0.5714285714285714,0,0.4285714285714285,0.5,0.2857142857142857,0.5,0.5,0.125,0,0.4285714285714285,0.375,0.5,0.125,0.8571428571428571,0.25,0.75,0.125,0.5714285714285714,0.2857142857142857
"7462",0,0.75,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.375,0,0.5,0.5,0.125,0,0.2857142857142857,0.125,0.375,0,0.5714285714285714,0.25,0.75,0,0.5714285714285714,0
"4",0,0.625,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.5714285714285714,0.75,0.75,0,0.375,0.4285714285714285,0.375,0.75,0.625,0.4285714285714285,0.5,0,0.375,0,0.4285714285714285
"5",0,0.375,0.14285714285714285,0,0.2857142857142857,0.5,0.2857142857142857,0.625,0.75,0,0.625,0.14285714285714285,0.25,0.75,0.5,0.14285714285714285,0.25,0,0.375,0,0.2857142857142857
"6",0,0.75,0.4285714285714285,0.33333333333333337,0,0.75,0.5714285714285714,0.75,0.75,0,0.375,0.2857142857142857,0.375,0.75,0.75,0.2857142857142857,0.5,0,0.25,0,0.5714285714285714
"7",0,0.625,0.2857142857142857,0,0.14285714285714285,0.75,0.2857142857142857,0.75,0.75,0,0.5,0.14285714285714285,0.25,0.75,0.75,0.14285714285714285,0.25,0,0.125,0,0.2857142857142857
"397",0,0.5,0.2857142857142857,0.33333333333333337,0.14285714285714285,0.75,0.5714285714285714,0.75,0.875,0,0.5,0.2857142857142857,0.25,0.625,0.75,0.14285714285714285,0.25,0,0.25,0,0.4285714285714285
"398",0,0.75,0.4285714285714285,0.6666666666666666,0.2857142857142857,0.875,0.4285714285714285,0.875,0.875,0,0.125,0.4285714285714285,0.5,0.75,0.75,0.14285714285714285,0.5,0,0.375,0,0.4285714285714285
"399",0,0.5,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.75,0.4285714285714285,0.625,0.75,0,0.625,0,0.125,0.625,0.75,0,0.25,0,0.125,0,0.4285714285714285
"400",0,0.625,0.5714285714285714,0,0,0.75,0.5714285714285714,0.75,0.875,0,0.75,0.2857142857142857,0.375,0.625,0.75,0.2857142857142857,0.5,0,0.125,0,0.5714285714285714
"795",0,0.25,0.5714285714285714,0.33333333333333337,0.4285714285714285,0.125,0.14285714285714285,0.25,0.25,0,0,0.14285714285714285,0.25,0.25,0,0.4285714285714285,0.25,0.75,0,0.5714285714285714,0
"796",0,0.375,0.5714285714285714,0,0.5714285714285714,0.25,0,0.5,0.375,0.25,0,0.2857142857142857,0.125,0.5,0,0.5714285714285714,0.125,0.75,0.25,0.4285714285714285,0
"797",0,0,0.8571428571428571,0,0.2857142857142857,0,0,0.125,0.125,0,0,0.14285714285714285,0.125,0.25,0,0.2857142857142857,0.125,0.625,0,0.2857142857142857,0
"798",0,0.375,0.4285714285714285,0.33333333333333337,0,0.5,0.14285714285714285,0.5,0.75,0,0.375,0,0,0.375,0.625,0.2857142857142857,0.5,0,0,0,0.14285714285714285
"1195",0,0.625,0.7142857142857143,0.33333333333333337,0,0.75,0.4285714285714285,0.75,1,0,0.125,0.14285714285714285,0.125,0.375,0.75,0.2857142857142857,0.75,0.125,0.25,0,0.4285714285714285
"1196",0,0.875,0.5714285714285714,0,0,0.875,0.7142857142857143,0.75,1,0,0,0.4285714285714285,0.375,0.75,0.875,0.4285714285714285,1,0,0.25,0,0.5714285714285714
"1197",0,0.5,0.4285714285714285,0,0,0.75,0.2857142857142857,0.5,1,0,0.125,0.14285714285714285,0.125,0.5,0.75,0.2857142857142857,1,0,0.125,0,0.2857142857142857
"1198",0,0.75,0.4285714285714285,0,0,0.75,0.14285714285714285,0.625,0.875,0,0.125,0.2857142857142857,0.125,0.375,0.5,0.4285714285714285,0.75,0,0.125,0,0.2857142857142857
"8",0,0.625,0.4285714285714285,0,0.2857142857142857,0.75,0.5714285714285714,0.75,0.75,0,0.375,0.5714285714285714,0.375,0.75,0.75,0.2857142857142857,0.25,0,0.375,0,0.4285714285714285
"9",0,0.625,0.4285714285714285,0,0.8571428571428571,0.625,0.4285714285714285,0.625,0.5,0,0.375,0.4285714285714285,0.5,0.75,0.375,0.2857142857142857,0.25,0,0.5,0.14285714285714285,0.4285714285714285
"10",0,0.75,0.4285714285714285,0.33333333333333337,0.4285714285714285,0.75,0.4285714285714285,0.75,0.75,0,0.5,0.7142857142857143,0.625,0.75,0.5,0.2857142857142857,0.25,0,0.625,0.14285714285714285,0.4285714285714285
"11",0,0.25,0.2857142857142857,0.33333333333333337,0.4285714285714285,0.5,0.2857142857142857,0.625,0.5,0,0.125,0.14285714285714285,0.375,0.75,0.25,0.2857142857142857,0,0,0.375,0.4285714285714285,0.4285714285714285
"401",0,0.75,0.5714285714285714,0,0,0.875,0.5714285714285714,0.75,1,0,0.125,0.2857142857142857,0.375,0.625,0.75,0.14285714285714285,0.75,0,0.125,0,0.4285714285714285
"402",0,0.625,0.5714285714285714,0,0.14285714285714285,0.75,0.5714285714285714,0.75,1,0,0.125,0.4285714285714285,0.5,0.75,0.875,0.14285714285714285,0.25,0,0.375,0,0.5714285714285714
"403",0,1,0.7142857142857143,0,0.4285714285714285,1,0.7142857142857143,1,1,0,0.125,0.7142857142857143,0.625,1,0.75,0.2857142857142857,0.25,0,0.625,0,0.7142857142857143
"404",0,0.625,0.4285714285714285,0.33333333333333337,0,0.75,0.5714285714285714,0.75,0.875,0,0.25,0.14285714285714285,0.125,0.5,0.75,0.14285714285714285,0.25,0,0.125,0,0.5714285714285714
"799",0,0.375,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.5,0.2857142857142857,0.5,0.5,0,0.125,0.14285714285714285,0.25,0.5,0.25,0.2857142857142857,0.5,0.25,0.125,0,0.2857142857142857
"800",0,0.5,0.5714285714285714,0,0.2857142857142857,0.5,0.4285714285714285,0.75,0.625,0,0.125,0.2857142857142857,0.375,0.75,0.25,0.14285714285714285,0.25,0.125,0.25,0,0.5714285714285714
"801",0,0.875,0.4285714285714285,0.33333333333333337,0.5714285714285714,0.875,0.4285714285714285,0.875,0.75,0,0.125,0.5714285714285714,0.75,0.75,0.5,0.2857142857142857,0.25,0,0.75,0,0.5714285714285714
"802",0,0.625,0.4285714285714285,0,0,0.5,0.2857142857142857,0.625,0.75,0,0.125,0.2857142857142857,0.125,0.5,0.5,0.2857142857142857,0.5,0,0.125,0,0.2857142857142857
"1199",0,0.75,0.5714285714285714,0,0,0.875,0.2857142857142857,0.75,1,0,0.125,0.2857142857142857,0.375,0.5,0.75,0.2857142857142857,0.75,0.125,0.25,0,0.2857142857142857
"1200",0,1,0.5714285714285714,0,0.14285714285714285,0.875,0.4285714285714285,0.875,0.875,0,0,0.4285714285714285,0.375,0.75,0.75,0.2857142857142857,0.75,0.125,0.375,0,0.4285714285714285
"1201",0,1,0.5714285714285714,0,0,0.75,0.4285714285714285,0.75,0.875,0,0,0.4285714285714285,0.5,0.75,0.75,0.2857142857142857,0.5,0.125,0.25,0,0.4285714285714285
"1202",0,0.75,0.5714285714285714,0,0.2857142857142857,0.75,0.4285714285714285,0.75,1,0,0.125,0.4285714285714285,0.375,0.75,0.625,0.4285714285714285,0.25,0.125,0.25,0,0.5714285714285714
"3184",0,0.75,0.4285714285714285,0,0.2857142857142857,1,0.5714285714285714,0.875,0.75,0,0.125,0.7142857142857143,0.5,1,0.5,0.14285714285714285,0.25,0,0.25,0,0.5714285714285714
"3185",0,0.5,0.5714285714285714,0,0.4285714285714285,0.5,0.2857142857142857,0.75,0.75,0,0,0.5714285714285714,0.375,0.75,0.25,0.4285714285714285,0.625,0.375,0.25,0.2857142857142857,0.2857142857142857
"3186",0,0.625,0.2857142857142857,0.6666666666666666,0.4285714285714285,0.75,0.4285714285714285,0.75,0.75,0,0.25,0.5714285714285714,0.625,0.75,0.5,0.2857142857142857,0.25,0,0.5,0.2857142857142857,0.5714285714285714
"3187",0,0.625,0.2857142857142857,0.6666666666666666,0.5714285714285714,0.75,0.4285714285714285,0.75,0.75,0,0.125,0.2857142857142857,0.375,0.75,0.5,0.2857142857142857,0.25,0.125,0.375,0.2857142857142857,0.4285714285714285
"3566",0,0.5,0.2857142857142857,0,0.4285714285714285,0.625,0.2857142857142857,0.625,0.75,0,0.125,0.4285714285714285,0.375,0.75,0.5,0.2857142857142857,0.375,0,0.375,0.14285714285714285,0.2857142857142857
"3567",0,0.875,0.7142857142857143,0,0.14285714285714285,1,0.7142857142857143,0.75,1,0,0.125,0.4285714285714285,0.5,0.75,0.875,0.5714285714285714,0.5,0.125,0.25,0,0.8571428571428571
"3568",0,0.75,0.4285714285714285,0,0.14285714285714285,0.75,0.4285714285714285,0.75,1,0,0.125,0.2857142857142857,0.375,0.625,0.75,0,0.25,0,0.25,0.14285714285714285,0.4285714285714285
"3569",0,0.75,0.4285714285714285,0.6666666666666666,0.4285714285714285,0.75,0.14285714285714285,0.75,0.75,0,0,0.2857142857142857,0.375,0.75,0.375,0,0.25,0,0.375,0.2857142857142857,0.14285714285714285
"3949",0,0.625,0.5714285714285714,0,0.4285714285714285,0.375,0.2857142857142857,0.75,0.625,0,0,0.4285714285714285,0.375,0.625,0,0.4285714285714285,0,0.75,0.25,0.4285714285714285,0.2857142857142857
"3950",0,0.375,0.4285714285714285,0.6666666666666666,0.4285714285714285,0.5,0.14285714285714285,0.75,0.75,0,0,0.4285714285714285,0.375,0.5,0.25,0.2857142857142857,0,0.5,0.25,0.2857142857142857,0.14285714285714285
"3951",0,0.875,0.5714285714285714,0,0.2857142857142857,0.75,0.5714285714285714,0.875,0.875,0,0.125,0.4285714285714285,0.375,0.75,0.75,0.2857142857142857,0.25,0,0.375,0,0.5714285714285714
"3952",0,0.625,0.5714285714285714,0,0,0.625,0,0.5,0.75,0,0,0.2857142857142857,0.125,0.5,0.25,0.4285714285714285,0.75,0.375,0,0,0
"4332",0,0.75,0.5714285714285714,0,0,0.75,0.4285714285714285,0.75,0.875,0,0,0.2857142857142857,0.25,0.625,0.75,0,0.5,0.125,0.125,0,0.4285714285714285
"4333",0,0.875,0.7142857142857143,0,0.14285714285714285,0.875,0.5714285714285714,0.75,1,0,0.125,0.4285714285714285,0.375,0.625,0.75,0.4285714285714285,0.625,0.25,0.25,0,0.5714285714285714
"4334",0,1,0.5714285714285714,0,0,1,0.5714285714285714,0.75,1,0,0.125,0.4285714285714285,0.375,0.75,0.75,0.5714285714285714,0.75,0.25,0.125,0,0.5714285714285714
"4335",0,1,0.7142857142857143,0.33333333333333337,0.2857142857142857,0.875,0.7142857142857143,0.875,0.875,0,0.25,0.4285714285714285,0.375,0.75,0.75,0.2857142857142857,0.25,0,0.375,0,0.7142857142857143
"4714",0,0.75,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.625,0.5714285714285714,0.75,0.75,0,0.25,0.4285714285714285,0.5,0.75,0.75,0.14285714285714285,0.25,0,0.375,0,0.5714285714285714
"4715",0,0.75,0.4285714285714285,0.33333333333333337,0.4285714285714285,0.625,0.5714285714285714,0.75,0.75,0.25,0.375,0.4285714285714285,0.5,0.75,0.5,0.2857142857142857,0.375,0.25,0.5,0.14285714285714285,0.4285714285714285
"4716",0,0.625,0.2857142857142857,0.33333333333333337,0.4285714285714285,0.625,0.4285714285714285,0.875,0.75,0,0.125,0.4285714285714285,0.625,0.75,0.5,0.2857142857142857,0.25,0,0.375,0.14285714285714285,0.4285714285714285
"4717",0,0.625,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.5,0.5714285714285714,0.625,0.75,0,0.25,0.5714285714285714,0.625,0.75,0.625,0.2857142857142857,0.5,0,0.375,0,0.5714285714285714
"5102",0,0.75,0.7142857142857143,0.33333333333333337,0.2857142857142857,0.75,0.7142857142857143,0.75,1,0,0.5,0.5714285714285714,0.375,0.75,0.875,0.4285714285714285,0.375,0.125,0.375,0,0.7142857142857143
"5103",0,0.75,0.4285714285714285,0.33333333333333337,0.2857142857142857,0.625,0.7142857142857143,0.875,0.75,0,0.25,0.7142857142857143,0.625,1,0.75,0.14285714285714285,0.25,0,0.375,0,0.7142857142857143
"5104",0,0.75,0.4285714285714285,0,0.14285714285714285,0.75,0.7142857142857143,0.875,0.875,0,0.375,0.5714285714285714,0.625,1,0.75,0.2857142857142857,0.25,0,0.375,0,0.7142857142857143
"5105",0,0.75,0.4285714285714285,0,0.4285714285714285,0.875,0.7142857142857143,0.875,1,0,0.375,0.4285714285714285,0.625,1,0.75,0.2857142857142857,0.25,0,0.5,0.14285714285714285,0.7142857142857143
"5489",0,0.75,0.5714285714285714,0,0.4285714285714285,0.75,0.5714285714285714,0.75,0.75,0,0.375,0.4285714285714285,0.625,0.875,0.75,0.2857142857142857,0.25,0,0.375,0,0.5714285714285714
"5490",0,0.75,0.5714285714285714,0,0.14285714285714285,0.75,0.2857142857142857,0.75,0.75,0,0.125,0.5714285714285714,0.5,0.75,0.5,0.7142857142857143,0.75,0.375,0.25,0,0.2857142857142857
"5491",0,0.75,0.4285714285714285,0.33333333333333337,0.4285714285714285,0.75,0.5714285714285714,0.75,0.625,0,0.25,0.4285714285714285,0.625,0.75,0.5,0.2857142857142857,0.25,0.125,0.375,0,0.5714285714285714
"5492",0,0.75,0.4285714285714285,0,0.4285714285714285,0.75,0.5714285714285714,0.75,0.75,0,0.25,0.4285714285714285,0.625,0.75,0.75,0.2857142857142857,0.25,0,0.375,0,0.5714285714285714
"5876",0,0.75,0.8571428571428571,0.33333333333333337,0.4285714285714285,0.875,0.5714285714285714,0.875,1,0,0.25,0.5714285714285714,0.625,0.75,0.75,0.2857142857142857,0.5,0.25,0.5,0.14285714285714285,0.5714285714285714
"5877",0,0.875,0.5714285714285714,0.33333333333333337,0.2857142857142857,0.75,0.4285714285714285,0.75,1,0,0.125,0.5714285714285714,0.5,0.75,0.75,0.4285714285714285,0.5,0.125,0.25,0,0.4285714285714285
"5878",0,0.75,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.5714285714285714,0.75,0.875,0,0.125,0.4285714285714285,0.375,0.75,0.75,0.4285714285714285,0.75,0,0.125,0,0.4285714285714285
"5879",0,0.875,0.5714285714285714,0,0.14285714285714285,0.875,0.7142857142857143,0.75,1,0,0.125,0.4285714285714285,0.375,0.75,0.75,0.2857142857142857,0.5,0,0.375,0,0.5714285714285714
"6268",0,0.75,0.2857142857142857,0.33333333333333337,0.4285714285714285,0.75,0.14285714285714285,0.75,0.75,0,0.125,0.4285714285714285,0.375,0.75,0.375,0.2857142857142857,0.5,0,0.25,0,0.14285714285714285
"6269",0,0.375,0.14285714285714285,0,0.5714285714285714,0.375,0.2857142857142857,0.625,0.25,0.125,0,0.4285714285714285,0.5,0.75,0,0,0.25,0,0.25,0.5714285714285714,0.2857142857142857
"6270",0,0.625,0.14285714285714285,0,0.7142857142857143,0.5,0.14285714285714285,0.625,0.375,0.125,0.125,0.4285714285714285,0.625,0.75,0.125,0.14285714285714285,0.25,0.125,0.375,0.5714285714285714,0.2857142857142857
"6271",0,0.75,0.4285714285714285,0.6666666666666666,0.8571428571428571,0.75,0.2857142857142857,0.75,0.5,0.25,0.125,0.5714285714285714,0.75,1,0.25,0.2857142857142857,0.25,0.25,0.625,0.5714285714285714,0.2857142857142857
"6667",0,0.625,0.4285714285714285,0,0,0.75,0.14285714285714285,0.5,0.75,0,0.125,0.2857142857142857,0.125,0.375,0.5,0.2857142857142857,1,0,0.125,0,0.14285714285714285
"6668",0,0.625,0.4285714285714285,0.33333333333333337,0,0.75,0.14285714285714285,0.75,0.75,0,0.375,0.14285714285714285,0.125,0.75,0.625,0.4285714285714285,0.75,0.25,0.125,0,0.2857142857142857
"6669",0,1,0.5714285714285714,0,0.2857142857142857,1,0.2857142857142857,0.875,0.875,0,0.125,0.4285714285714285,0.375,0.875,0.625,0.4285714285714285,0.75,0.25,0.375,0,0.4285714285714285
"6670",0,0.125,0.14285714285714285,0.6666666666666666,0.5714285714285714,0.125,0,0.375,0.25,0.25,0.125,0.14285714285714285,0.5,0.75,0.125,0.2857142857142857,0.25,0.25,0.375,0.5714285714285714,0
"7064",0,0.375,0.4285714285714285,0.33333333333333337,0.4285714285714285,0.375,0,0.5,0.625,0.125,0,0.2857142857142857,0.375,0.5,0.25,0.4285714285714285,0.375,0.5,0.375,0.2857142857142857,0
"7065",0,0.5,0.2857142857142857,0,0.5714285714285714,0.375,0.14285714285714285,0.5,0.5,0,0,0.4285714285714285,0.375,0.75,0.25,0.2857142857142857,0.25,0.125,0.125,0.2857142857142857,0.14285714285714285
"7066",0,1,0.8571428571428571,0,0.2857142857142857,1,0.4285714285714285,0.875,1,0,0.25,0.5714285714285714,0.5,1,0.75,0.7142857142857143,1,0.25,0.375,0.14285714285714285,0.4285714285714285
"7067",0,0.375,0,0,0.7142857142857143,0.25,0.14285714285714285,0.375,0.25,0.25,0.25,0.14285714285714285,0.25,0.5,0,0,0.125,0,0.5,0.2857142857142857,0
"7463",0,0.75,0.4285714285714285,0,0,0.75,0.2857142857142857,0.625,0.875,0,0.125,0.2857142857142857,0.25,0.375,0.75,0.2857142857142857,1,0.25,0,0,0.14285714285714285
"7464",0,0.875,0.9999999999999999,0.33333333333333337,0,1,0.14285714285714285,0.75,1,0,0.125,0.4285714285714285,0.125,0.5,0.75,0.4285714285714285,1,0.125,0.125,0,0.14285714285714285
"7465",0,0.75,0.5714285714285714,0,0.2857142857142857,0.75,0.2857142857142857,0.75,0.875,0,0,0.2857142857142857,0.5,0.75,0.75,0.2857142857142857,0.75,0,0.375,0.14285714285714285,0.14285714285714285
"7466",0,0.75,0.5714285714285714,0.33333333333333337,0,0.75,0.14285714285714285,0.625,1,0,0.125,0.14285714285714285,0.375,0.5,0.75,0.4285714285714285,0.75,0.125,0.125,0,0.14285714285714285
"3188",0,0.75,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.7142857142857143,0.75,1,0,0.375,0.4285714285714285,0.375,0.75,0.75,0.2857142857142857,0.375,0.125,0.125,0,0.5714285714285714
"3189",0,0.75,0.5714285714285714,0.6666666666666666,0.2857142857142857,0.625,0.5714285714285714,0.75,0.875,0,0.625,0.2857142857142857,0.375,0.75,0.75,0.2857142857142857,0.25,0,0.25,0,0.7142857142857143
"3190",0,0.625,0.2857142857142857,0,0,0.75,0.2857142857142857,0.625,0.75,0,0.25,0.14285714285714285,0.125,0.5,0.625,0.2857142857142857,0.25,0,0.125,0,0.2857142857142857
"3191",0,0.625,0.5714285714285714,0,0.14285714285714285,0.75,0.7142857142857143,0.75,1,0,0.375,0.4285714285714285,0.375,0.625,0.75,0.2857142857142857,0.625,0,0.375,0,0.5714285714285714
"3570",0,0.75,0.5714285714285714,0,0.14285714285714285,0.75,0.7142857142857143,0.75,0.875,0,0.375,0.14285714285714285,0.5,0.875,0.75,0.14285714285714285,0.5,0,0.25,0,0.5714285714285714
"3571",0,0.625,0.4285714285714285,0.33333333333333337,0,0.875,0.5714285714285714,0.75,1,0,0.5,0.14285714285714285,0.25,0.75,1,0.14285714285714285,0.25,0,0.25,0,0.5714285714285714
"3572",0,0.625,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.4285714285714285,0.75,1,0,0.25,0.4285714285714285,0.5,0.75,0.75,0.2857142857142857,0.625,0,0.25,0,0.4285714285714285
"3573",0,0.75,0.4285714285714285,0,0.14285714285714285,0.875,0.7142857142857143,0.875,1,0,0.25,0.4285714285714285,0.5,1,0.75,0.14285714285714285,0.5,0,0.375,0,0.7142857142857143
"3953",0,0.625,0.4285714285714285,0.33333333333333337,0.14285714285714285,0.75,0.2857142857142857,0.75,0.75,0,0.125,0.2857142857142857,0.375,0.75,0.375,0.2857142857142857,0.5,0,0.25,0,0.2857142857142857
"3954",0,0.375,0.4285714285714285,0.33333333333333337,0.14285714285714285,0.5,0.14285714285714285,0.5,0.75,0,0.25,0.14285714285714285,0.375,0.5,0.375,0.4285714285714285,0.75,0.25,0.125,0,0.14285714285714285
"3955",0,0.625,0.5714285714285714,0,0,0.75,0,0.75,1,0,0,0.14285714285714285,0,0.5,0.625,0.5714285714285714,0.75,0.25,0,0,0
"3956",0,0.5,0.4285714285714285,0.33333333333333337,0,0.5,0,0.5,0.75,0,0.125,0.14285714285714285,0.125,0.5,0.5,0.2857142857142857,0.75,0,0,0,0.14285714285714285
"4336",0,0.625,0.5714285714285714,0,0,0.875,0.2857142857142857,0.75,1,0,0.375,0.2857142857142857,0.375,0.5,0.875,0.4285714285714285,0.75,0,0.125,0,0.2857142857142857
"4337",0,0.75,0.5714285714285714,0.33333333333333337,0.14285714285714285,0.75,0.2857142857142857,0.75,1,0,0.125,0.2857142857142857,0.375,0.75,0.75,0.4285714285714285,0.5,0,0.25,0,0.2857142857142857
"4338",0,0.625,0.5714285714285714,0.33333333333333337,0.2857142857142857,0.75,0.5714285714285714,0.75,0.75,0,0.125,0.4285714285714285,0.625,0.75,0.75,0.4285714285714285,0.5,0.25,0.375,0.14285714285714285,0.4285714285714285
